id_vente;Date mutation;Valeur fonciere;Nature mutation;id_bien
649;2020-01-07;71500;Vente;649
650;2020-01-07;421280;Vente;650
651;2020-01-07;234000;Vente;651
652;2020-01-07;199120;Vente;652
653;2020-01-07;339200;Vente;653
654;2020-01-07;514142;Vente;654
655;2020-01-07;201813;Vente;655
656;2020-01-07;202500;Vente;656
657;2020-01-07;220000;Vente;657
658;2020-01-07;315000;Vente;658
659;2020-01-07;149000;Vente;659
660;2020-01-07;35000;Vente;660
661;2020-01-08;720000;Vente;661
662;2020-01-08;190000;Vente;662
663;2020-01-08;241030;Vente;663
664;2020-01-08;620000;Vente;664
665;2020-01-08;97500;Vente;665
666;2020-01-08;309000;Vente;666
667;2020-01-08;490000;Vente;667
668;2020-01-08;340750;Vente;668
669;2020-01-08;214700;Vente;669
670;2020-01-08;415000;Vente;670
671;2020-01-08;195000;Vente;671
672;2020-01-08;205000;Vente;672
673;2020-01-08;146880;Vente;673
674;2020-01-08;95000;Vente;674
675;2020-01-08;57000;Vente;675
676;2020-01-08;48420;Vente;676
677;2020-01-08;93500;Vente;677
678;2020-01-08;98000;Vente;678
679;2020-01-08;75500;Vente;679
680;2020-01-08;105000;Vente;680
681;2020-01-08;119800;Vente;681
682;2020-01-08;40000;Vente;682
683;2020-01-08;152000;Vente;683
684;2020-01-08;85000;Vente;684
685;2020-01-08;68000;Vente;685
686;2020-01-08;65748;Vente;686
687;2020-01-08;76500;Vente;687
688;2020-01-08;242000;Vente;688
689;2020-01-08;223400;Vente;689
690;2020-01-08;201400;Vente;690
691;2020-01-08;215000;Vente;691
692;2020-01-08;148000;Vente;692
693;2020-01-08;187000;Vente;693
694;2020-01-08;22000;Vente;694
695;2020-01-08;21750;Vente;695
696;2020-01-08;68500;Vente;696
697;2020-01-08;108000;Vente;697
698;2020-01-08;500000;Vente;698
699;2020-01-08;248910;Vente;699
700;2020-01-08;85800;Vente;700
701;2020-01-08;130000;Vente;701
702;2020-01-08;163400;Vente;702
703;2020-01-08;257500;Vente;703
704;2020-01-08;133200;Vente;704
705;2020-01-08;139000;Vente;705
706;2020-01-08;243000;Vente;706
707;2020-01-08;218000;Vente;707
708;2020-01-08;149400;Vente;708
709;2020-01-08;147800;Vente;709
710;2020-01-08;133900;Vente;710
711;2020-01-08;160000;Vente;711
712;2020-01-08;79000;Vente;712
713;2020-01-08;278400;Vente;713
714;2020-01-08;273600;Vente;714
715;2020-01-08;120930;Vente;715
716;2020-01-08;100000;Vente;716
717;2020-01-08;106500;Vente;717
718;2020-01-08;149000;Vente;718
719;2020-01-08;165200;Vente;719
720;2020-01-08;58000;Vente;720
721;2020-01-08;145000;Vente;721
722;2020-01-08;54500;Vente;722
723;2020-01-08;283000;Vente;723
724;2020-01-08;237000;Vente;724
725;2020-01-08;153190;Vente;725
726;2020-01-08;65210;Vente;726
727;2020-01-08;185000;Vente;727
728;2020-01-08;45082;Vente;728
729;2020-01-08;92000;Vente;729
730;2020-01-08;141000;Vente;730
731;2020-01-08;43000;Vente;731
732;2020-01-08;138400;Vente;732
733;2020-01-08;78000;Vente;733
734;2020-01-08;141650;Vente;734
735;2020-01-08;61750;Vente;735
736;2020-01-08;92800;Vente;736
737;2020-01-08;106500;Vente;737
738;2020-01-08;93500;Vente;738
739;2020-01-08;142000;Vente;739
740;2020-01-08;36900;Vente;740
741;2020-01-08;145000;Vente;741
742;2020-01-08;45000;Vente;742
743;2020-01-08;157000;Vente;743
744;2020-01-08;243010;Vente;744
745;2020-01-08;155490;Vente;745
746;2020-01-08;235294;Vente;746
747;2020-01-08;740000;Vente;747
748;2020-01-08;254000;Vente;748
749;2020-01-08;119000;Vente;749
750;2020-01-08;26500;Vente;750
751;2020-01-08;17000;Vente;751
752;2020-01-08;221775;Vente;752
753;2020-01-08;105000;Vente;753
754;2020-01-08;236538;Vente;754
755;2020-01-08;572500;Vente;755
756;2020-01-08;370000;Vente;756
757;2020-01-08;648600;Vente;757
758;2020-01-08;879000;Vente;758
759;2020-01-08;432000;Vente;759
760;2020-01-08;1195000;Vente;760
761;2020-01-08;2184420;Vente;761
762;2020-01-08;1493825;Vente;762
763;2020-01-08;871900;Vente;763
764;2020-01-08;215000;Vente;764
765;2020-01-08;744000;Vente;765
766;2020-01-08;384000;Vente;766
